SH,P_su,T_ex,P_ex,RPM,m_dot_wf,Torque,W_dot_shaft
10,300000,0,1270000,800,0.019472222,0,857
10,300000,0,1270000,1000,0.025111111,0,1081
10,300000,0,1270000,2000,0.053138889,0,2257
10,300000,0,1270000,3000,0.080805556,0,3530
10,300000,0,1270000,4000,0.108083333,0,4898
10,300000,0,1270000,6000,0.161583333,0,7922
10,350000,0,1270000,800,0.02325,0,843
10,350000,0,1270000,1000,0.029805556,0,1082
10,350000,0,1270000,2000,0.06225,0,2339
10,350000,0,1270000,3000,0.094361111,0,3691
10,350000,0,1270000,4000,0.126083333,0,5140
10,350000,0,1270000,6000,0.188444444,0,8324
10,400000,0,1270000,800,0.027027778,0,808
10,400000,0,1270000,1000,0.034472222,0,1064
10,400000,0,1270000,2000,0.071361111,0,2401
10,400000,0,1270000,3000,0.107916667,0,3833
10,400000,0,1270000,4000,0.144083333,0,8362
10,400000,0,1270000,6000,0.215305556,0,8707
10,300000,0,1770000,800,0.018194444,0,1161
10,300000,0,1770000,1000,0.023805556,0,1437
10,300000,0,1770000,2000,0.051583333,0,2874
10,300000,0,1770000,3000,0.079,0,4407
10,300000,0,1770000,4000,0.106027778,0,6036
10,300000,0,1770000,6000,0.159,0,9582
10,350000,0,1770000,800,0.021972222,0,1166
10,350000,0,1770000,1000,0.028472222,0,1458
10,350000,0,1770000,2000,0.060666667,0,2976
10,350000,0,1770000,3000,0.092527778,0,4589
10,350000,0,1770000,4000,0.124,0,6298
10,350000,0,1770000,6000,0.185861111,0,10004
10,400000,0,1770000,800,0.02575,0,1152
10,400000,0,1770000,1000,0.033111111,0,1460
10,400000,0,1770000,2000,0.069777778,0,3058
10,400000,0,1770000,3000,0.106055556,0,4751
10,400000,0,1770000,4000,0.141972222,0,6540
10,400000,0,1770000,6000,0.212694444,0,10407
10,300000,0,2160000,800,0.017611111,0,1383
10,300000,0,2160000,1000,0.023166667,0,1700
10,300000,0,2160000,2000,0.05075,0,3341
10,300000,0,2160000,3000,0.077944444,0,5077
10,300000,0,2160000,4000,0.104777778,0,6910
10,300000,0,2160000,6000,0.157361111,0,10863
10,350000,0,2160000,800,0.021361111,0,1404
10,350000,0,2160000,1000,0.027805556,0,1767
10,350000,0,2160000,2000,0.059833333,0,3458
10,350000,0,2160000,3000,0.091472222,0,5275
10,350000,0,2160000,4000,0.12275,0,7187
10,350000,0,2160000,6000,0.184194444,0,11301
10,400000,0,2160000,800,0.025111111,0,1406
10,400000,0,2160000,1000,0.032444444,0,1755
10,400000,0,2160000,2000,0.068888889,0,3556
10,400000,0,2160000,3000,0.104972222,0,5452
10,400000,0,2160000,4000,0.140694444,0,7445
10,400000,0,2160000,6000,0.211027778,0,11719
