T_su,P_su,h_su,s_su,T_ex,P_ex,h_ex_s,RPM,m_dot_wf,Torque,Press.Ratio,W_shaft,deltaH,Spec.Vol.Suc.,h_evap_in,Eff_s,BTE,Eff_v,h_ex,H_dot,Q_dot_loss
374.1,955214.9,483869.5,1831.4,350.9,293940.1,460670.9,1500,0.086,8.399,3.25,1319,23198.57,0.0202,225571.4,0.66,0.059,0.98,471235.5,1086,-233
373.6,951140.4,483397.6,1830.4,350.7,292463.9,460217.6,1500,0.0859,8.362,3.25,1313,23179.98,0.0203,225569.3,0.66,0.059,0.98,471068.9,1059,-254
372.5,951220.4,482171.4,1827.1,348.7,293548.5,459173.8,1500,0.0858,8.34,3.24,1309,22997.65,0.0202,225567.7,0.66,0.059,0.97,469073,1124,-186
372.7,925035.7,482918,1830.5,348.7,293629.5,460348.4,1600,0.0854,7.865,3.15,1317,22569.64,0.0209,225503.5,0.68,0.06,0.94,469089.5,1181,-136
372,923276.4,482141.6,1828.6,348.3,291627.7,459539.6,1600,0.0857,7.897,3.17,1322,22602.03,0.0209,225457.4,0.68,0.06,0.94,468698.7,1152,-170
371.8,915672.1,482071.6,1828.8,348.3,292633.4,459688.7,1720,0.0856,7.744,3.13,1394,22382.93,0.0211,225417.3,0.73,0.063,0.88,468670.5,1148,-247
372.2,917661.1,482455.7,1829.7,348.4,292822.4,460013.6,1720,0.0858,7.785,3.13,1402,22442.13,0.021,225404.4,0.73,0.064,0.88,468823.5,1170,-232
372.3,899773.5,482963.5,1832.1,348.8,295942,461034.3,1800,0.0859,7.419,3.04,1398,21929.12,0.0216,225374.7,0.74,0.063,0.87,469070.3,1194,-204
372.2,901733.4,482782.1,1831.5,348.7,296219.3,460848.3,1800,0.0862,7.44,3.04,1402,21933.83,0.0215,225352.9,0.74,0.063,0.87,468970.1,1191,-211
372.6,881591.4,483616.1,1834.9,349.2,298213.5,462147.5,1900,0.0865,7.041,2.96,1400,21468.59,0.0222,225333.8,0.75,0.063,0.85,469522.5,1219,-181
372.1,880235.6,483070.7,1833.5,349,296833.1,461583.1,1900,0.0864,7.027,2.97,1398,21487.67,0.0221,225336.2,0.75,0.063,0.85,469304.8,1189,-209
372.1,886206.6,482924.9,1832.8,348.7,296393.4,461299.5,1900,0.0863,7.131,2.99,1418,21625.45,0.022,225306.3,0.76,0.064,0.84,469009.3,1201,-217
369.9,845454.5,481243.6,1830.7,347.7,297812.3,460690.6,2000,0.0866,6.438,2.84,1348,20553.09,0.023,225253.8,0.76,0.061,0.84,467949.2,1151,-197
369.6,843231.6,480929.6,1830,347.3,295470.6,460293.4,2000,0.0865,6.443,2.85,1349,20636.22,0.023,225271.5,0.76,0.061,0.84,467669.3,1148,-201
365.8,786500.6,477835.5,1825.3,345.2,298942.8,458913.6,2200,0.0878,5.4,2.63,1243,18921.87,0.0246,225279.4,0.75,0.056,0.83,465513.7,1082,-162
365.6,779486.3,477677.9,1825.3,345.1,297407.6,458827.6,2200,0.0866,5.317,2.62,1224,18850.3,0.0248,225284.2,0.75,0.056,0.82,465436.9,1060,-165
360.9,718383.1,473742.6,1818.8,342.2,294090.3,456418.4,2365,0.0864,4.317,2.44,1069,17324.2,0.0268,225180.5,0.71,0.05,0.82,462599.5,963,-106
360.8,719202.6,473636.9,1818.5,342,291840,456150.9,2400,0.0862,4.36,2.46,1095,17486.05,0.0267,225220,0.73,0.051,0.81,462436.5,966,-130
360.8,718375.7,473642.2,1818.5,342,291172.5,456132,2400,0.0863,4.359,2.47,1095,17510.19,0.0268,225202,0.72,0.051,0.81,462427.6,968,-127
361,707071.8,474056.7,1820.5,342.6,294680.6,457034.8,2500,0.087,4.094,2.4,1071,17021.86,0.0273,225206.1,0.72,0.049,0.8,463013.8,961,-111
360.9,707475.6,474009.3,1820.4,342.6,295483.7,457033.2,2500,0.087,4.097,2.39,1072,16976.09,0.0273,225203.7,0.73,0.05,0.8,462997.9,959,-114
360.9,707803.6,473985.8,1820.3,342.5,293216.7,456853.4,2500,0.087,4.121,2.41,1078,17132.36,0.0273,225209.3,0.72,0.05,0.8,462933.2,961,-117
382.2,892763.1,494245.9,1862.4,358.2,200998.3,463635.9,4000,0.1487,6.14,4.44,2571,30609.95,0.0228,221951.6,0.56,0.063,0.72,480014.4,2117,-454
381.9,891848.4,493903.8,1861.6,357.9,200083,463256.6,4000,0.1483,6.137,4.46,2569,30647.19,0.0228,221970.5,0.57,0.064,0.71,479761.9,2098,-471
382.5,877736.5,494858,1864.9,358.7,205172.5,464911.3,4000,0.145,5.927,4.28,2481,29946.75,0.0233,222055.7,0.57,0.063,0.71,480513.5,2079,-402
382.7,865482.9,495245.2,1866.7,359.2,207520.7,465749.2,4000,0.1423,5.771,4.17,2416,29496.01,0.0237,222243.4,0.58,0.062,0.71,480966.5,2032,-385
381.2,851991.8,493768,1863.7,358.1,207468.7,464706.1,4000,0.141,5.619,4.11,2352,29061.9,0.024,222272.7,0.57,0.061,0.71,479863.2,1961,-392
380.9,831212.5,493780.3,1865,358,209240.6,465345.9,4000,0.1361,5.394,3.97,2258,28434.49,0.0247,222183.8,0.58,0.061,0.71,479776.3,1906,-352
381.2,851991.8,493768,1863.7,358.1,207468.7,464706.1,4000,0.141,5.619,4.11,2352,29061.9,0.024,222272.7,0.57,0.061,0.71,479863.2,1961,-392
380.9,831212.5,493780.3,1865,358,209240.6,465345.9,4000,0.1361,5.394,3.97,2258,28434.49,0.0247,222183.8,0.58,0.061,0.71,479776.3,1906,-352
379,825118.5,491794.2,1860.2,356.9,216141.5,464347.7,4000,0.1362,5.213,3.82,2183,27446.51,0.0247,222084,0.58,0.059,0.71,478571.8,1802,-381
378.5,822270.5,491331.9,1859.2,356.5,214251.5,463815.9,4000,0.136,5.145,3.84,2154,27515.97,0.0248,222135.4,0.58,0.059,0.71,478123.7,1796,-358
378.6,806255.9,491683.1,1861.2,357.1,221339.2,465156.3,4000,0.1328,4.925,3.64,2062,26526.84,0.0253,222157.4,0.59,0.058,0.71,478612.8,1736,-326
378.9,796949.9,492194.7,1863.1,358.3,241908.3,467646.7,4000,0.1303,4.565,3.29,1911,24548.02,0.0257,222120.9,0.6,0.054,0.71,479489.3,1655,-256
378.8,792836.5,492081.1,1863.1,358.3,243008.9,467732.5,4000,0.1297,4.533,3.26,1898,24348.63,0.0259,222514.5,0.6,0.054,0.71,479488.5,1633,-264
378.1,773316.1,491684.9,1863.4,358.1,239492.4,467540.7,4000,0.1269,4.366,3.23,1828,24144.23,0.0266,222576.9,0.6,0.054,0.71,479310.9,1570,-258
376.6,765264.7,490160,1859.9,356.8,247959.2,467046.8,4000,0.1255,4.245,3.09,1777,23113.2,0.0267,222492.2,0.61,0.053,0.71,477916.8,1537,-240
376.8,755409.8,490567.5,1861.7,357.4,253679,468130.1,4000,0.1234,4.056,2.98,1698,22437.45,0.0271,222548.9,0.61,0.051,0.71,478402.4,1501,-197
376.4,754380.1,490145.1,1860.7,357,252919.9,467705.7,4000,0.1236,4.098,2.98,1716,22439.37,0.0271,222598.2,0.62,0.052,0.71,478052.9,1494,-222
376.8,742870.4,490708.7,1863,358.3,267197,469638.3,4000,0.1213,3.774,2.78,1580,21070.38,0.0277,222619.3,0.62,0.049,0.71,479068.2,1412,-168
377.2,739063.4,491270.5,1864.8,359,272420.6,470653.6,4000,0.1203,3.674,2.71,1538,20616.86,0.0279,222751.3,0.62,0.048,0.71,479699.3,1392,-146
375.3,727815.1,489393.2,1860.6,358,279053.4,469695.1,4000,0.119,3.427,2.61,1435,19698.08,0.0282,222740.9,0.61,0.045,0.71,478604.7,1284,-151
375.1,727049.4,489158.7,1860.1,357.7,277447.2,469379.3,4000,0.1189,3.442,2.62,1441,19779.44,0.0282,222808.1,0.61,0.045,0.71,478314.3,1290,-151
375.5,717770.7,489754.5,1862.4,358.8,288946.9,471010.2,4000,0.1167,3.159,2.48,1323,18744.26,0.0286,222791.5,0.6,0.042,0.7,479238.8,1227,-96
375.7,705535.3,490162.7,1864.4,359,284653.2,471414.9,4000,0.1141,3.096,2.48,1296,18747.86,0.0292,222859.1,0.61,0.042,0.7,479554.9,1211,-85
374.9,682135.8,489731.1,1865.1,359.2,289577.3,472014.7,4000,0.1102,2.738,2.36,1146,17716.36,0.0303,222727.5,0.59,0.039,0.7,479630.1,1113,-33
377.2,834620.5,489616.1,1853.8,356.5,195610.4,460169.4,5000,0.1624,4.393,4.27,2299,29446.77,0.0242,222538.9,0.48,0.053,0.66,478500.7,1805,-494
377.2,839083.8,489585.8,1853.5,356.8,202210.5,460710.4,5000,0.1634,4.364,4.15,2284,28875.41,0.024,222470.3,0.48,0.052,0.66,478653.9,1786,-498
376.9,843460.3,489085.6,1851.9,356.5,207849.8,460718.1,5000,0.1632,4.352,4.06,2278,28367.5,0.0238,222749.5,0.49,0.052,0.66,478235.5,1771,-507
377.4,829432.2,489923.7,1855,357.2,206835.6,461677.7,5000,0.1609,4.269,4.01,2234,28245.98,0.0244,223026.9,0.49,0.052,0.66,478979.9,1760,-474
377.2,811302.1,489982.8,1856.3,357,203563.8,461813.3,5000,0.1552,4.152,3.99,2173,28169.46,0.025,222972.7,0.5,0.052,0.65,478824.9,1732,-441
377.6,798409.5,490704.8,1859.1,357.6,201767.3,462578.8,5000,0.1527,4.069,3.96,2129,28126.02,0.0255,222763.9,0.5,0.052,0.66,479416.7,1723,-406
376.6,799485.2,489537.2,1855.9,356.9,206755.4,461992.8,5000,0.154,4.01,3.87,2099,27544.37,0.0254,222597.1,0.49,0.051,0.66,478646.4,1677,-421
376.2,787002.4,489303.2,1856.2,356.3,204649.6,461864,5000,0.151,3.97,3.85,2077,27439.23,0.0258,222721.5,0.5,0.052,0.66,478155.9,1683,-394
374.8,756137.5,488309.3,1855.7,355.5,203281,461565.1,5000,0.145,3.72,3.72,1947,26744.19,0.0269,222475,0.5,0.051,0.66,477372.7,1585,-362
374.2,758843.5,487651,1853.7,355.3,211906.6,461737.3,5000,0.1458,3.63,3.58,1900,25913.72,0.0267,222468.7,0.5,0.049,0.66,477016.8,1551,-349
374.6,757987.7,488100.8,1855,356.1,221322.1,463041.3,5000,0.1454,3.509,3.42,1836,25059.49,0.0268,222804.9,0.5,0.048,0.66,477657.8,1519,-318
374.7,747072.2,488385.2,1856.5,356.4,220045,463452.5,5000,0.1429,3.444,3.4,1802,24932.7,0.0272,223229.8,0.51,0.048,0.66,477938,1493,-310
374.9,734715.6,488832,1858.6,356.5,216370.3,463829.9,5000,0.1398,3.383,3.4,1770,25002.03,0.0278,223244.2,0.51,0.048,0.66,478122.5,1497,-273
373.8,717650.8,487882.3,1857.4,355.7,212386,463026,5000,0.1363,3.254,3.38,1703,24856.36,0.0284,223053.4,0.5,0.047,0.65,477365.5,1433,-269
373.5,703170.4,487765.1,1858.2,355.5,211815.5,463244.7,5000,0.1334,3.126,3.32,1636,24520.38,0.0291,222839.2,0.5,0.046,0.65,477216.6,1407,-229
372.6,692233.8,487017.4,1857,354.9,210103.7,462690.2,5000,0.1314,3.045,3.29,1593,24327.15,0.0295,222742.3,0.5,0.046,0.65,476643.6,1364,-230
373.5,676568.8,488198.4,1861.4,355.6,206251,463825.6,5000,0.1275,2.964,3.28,1551,24372.85,0.0304,222623.2,0.5,0.046,0.65,477418.8,1375,-176
372.6,666341.5,487438.1,1860.2,355.6,215071.8,464263.2,5000,0.1252,2.749,3.1,1438,23174.87,0.0308,222445.7,0.5,0.043,0.65,477223.2,1279,-159
371.7,635975.9,487000,1861.6,355.4,218746.8,465086.3,5000,0.1185,2.417,2.91,1265,21913.67,0.0324,222545.6,0.49,0.04,0.65,477021.4,1182,-83
370.5,643836.9,485515.8,1857,354.2,218788,463487.8,5000,0.1205,2.476,2.94,1296,22028.03,0.0318,222624.6,0.49,0.041,0.64,475818.6,1168,-127
371.1,631749.3,486379.1,1860.3,355.4,224559.9,465171.2,5000,0.1181,2.299,2.81,1203,21207.91,0.0325,222638.8,0.48,0.039,0.65,476903.9,1119,-84
371.4,621637.1,486936,1862.7,356.2,229976.5,466479.8,5000,0.1153,2.11,2.7,1104,20456.14,0.0332,222681.3,0.47,0.036,0.64,477634.8,1072,-32
371.5,605378.9,487274.5,1865.1,357.8,245116.5,468606.8,5000,0.1118,1.689,2.47,884,18667.66,0.0342,222727.4,0.42,0.03,0.64,479006.5,925,41
372.8,607775.2,488646.9,1868.6,359.1,247428.7,470006.4,5000,0.112,1.686,2.46,882,18640.5,0.0342,222840,0.42,0.03,0.65,480196.8,947,64
373,756611.6,486324.2,1850.3,354,176953.4,456994.7,5500,0.1543,3.368,4.28,1939,29329.44,0.0266,221267.3,0.43,0.047,0.63,476332.6,1542,-397
373,757951.6,486333.6,1850.3,354,178770.3,457174.1,5500,0.1552,3.368,4.24,1939,29159.48,0.0266,221227.7,0.43,0.047,0.63,476257.4,1564,-375
373.3,760552.9,486563.2,1850.7,354.3,180554.7,457515.4,5500,0.1561,3.356,4.21,1932,29047.75,0.0265,221228.8,0.43,0.047,0.63,476549.1,1563,-369
373.1,761767.4,486335.3,1850,354.3,181875.8,457427.1,5500,0.1571,3.34,4.19,1923,28908.17,0.0264,221237.5,0.42,0.046,0.64,476520.5,1542,-380
373.4,764942,486628.9,1850.6,354.7,185699.8,458029.3,5500,0.1584,3.338,4.12,1921,28599.65,0.0263,221291.3,0.42,0.046,0.64,476813.2,1555,-366
373.6,754243.2,487062.2,1852.5,354.9,185386.9,458640.6,5500,0.1546,3.246,4.07,1868,28421.56,0.0268,221354.9,0.43,0.045,0.64,477079.4,1544,-325
373.5,755575.9,486907.7,1852,354.9,188401.7,458791.3,5500,0.155,3.268,4.01,1881,28116.4,0.0267,221375,0.43,0.046,0.63,477028.3,1531,-350
374.1,749393.7,487634.1,1854.4,355.4,187783.2,459529.5,5500,0.1529,3.257,3.99,1875,28104.58,0.0271,221405.4,0.44,0.046,0.63,477461.9,1556,-319
372.9,726471.4,486731.5,1853.6,355,191194.4,459643.7,5500,0.1479,3.019,3.8,1738,27087.82,0.0279,221395.8,0.43,0.044,0.63,477050.3,1432,-306
372.2,723052.1,486088.1,1852.2,354.6,195491.6,459592.2,5500,0.1472,2.921,3.7,1682,26495.88,0.028,221483.4,0.43,0.043,0.63,476558.4,1403,-278
371,708362.9,485021.1,1850.4,354,196189.6,459072.3,5500,0.1448,2.811,3.61,1618,25948.81,0.0285,221609.6,0.43,0.042,0.63,475959.1,1312,-306
370.7,710531.2,484576.4,1849,353.7,204150.9,459405.3,5500,0.1455,2.753,3.48,1585,25171.09,0.0284,221697,0.43,0.041,0.63,475536.2,1316,-269
371.3,702138,485391.3,1851.9,354.6,207432.4,460684.7,5500,0.1434,2.632,3.39,1515,24706.58,0.0288,221910.6,0.43,0.04,0.63,476363.5,1294,-221
371.5,698594.8,485652.9,1852.9,355.4,217797.9,461994.9,5500,0.1423,2.47,3.21,1422,23657.96,0.029,222040.8,0.42,0.038,0.63,476974.7,1235,-187
370.4,682547.1,484766.3,1851.7,355.5,227700.8,462506.3,5500,0.1385,2.154,3,1240,22260.01,0.0297,222316.2,0.4,0.034,0.63,476913.1,1087,-153
370.5,680441.1,484887.6,1852.2,355.8,232857.4,463125.7,5500,0.1383,2.078,2.92,1196,21761.97,0.0298,222682.8,0.4,0.033,0.63,477185.2,1066,-130
370.5,674807.1,485006.3,1853,356.6,243131.4,464260.2,5500,0.136,1.865,2.78,1074,20746.1,0.0301,222845.1,0.38,0.03,0.63,477804.6,979,-95
370.6,674206.1,485142.7,1853.4,357.5,255422.5,465398.3,5500,0.1359,1.669,2.64,961,19744.4,0.0301,223118.9,0.36,0.027,0.63,478530.1,899,-62
370.4,673271.5,484904.6,1852.9,357.6,257738.1,465385.4,5500,0.1359,1.635,2.61,941,19519.22,0.0302,223489.7,0.35,0.026,0.63,478525.3,867,-74
370.8,673813.9,485371,1854.1,358.3,265570.7,466409.2,5500,0.1359,1.534,2.54,883,18961.8,0.0302,223556.6,0.34,0.025,0.63,479116.7,850,-33
370.6,671679.1,485161.1,1853.7,359,275583.4,467022.5,5500,0.1359,1.37,2.44,788,18138.63,0.0303,223665.9,0.32,0.022,0.63,479640.5,750,-38
369.5,815914.4,481372.8,1833,343.9,203307.8,453947.6,2000,0.0866,7.522,4.01,1575,27425.13,0.024,224766.5,0.66,0.071,0.87,465926.8,1337,-237
368.3,804823.8,480219.4,1830.6,343.3,202718.9,453095.8,2000,0.0858,7.394,3.97,1548,27123.59,0.0242,224757.6,0.67,0.071,0.88,465352.2,1275,-272
378.6,874755.2,490534.2,1853.8,351.9,207899.2,461364.9,2000,0.0906,8.286,4.21,1734,29169.36,0.023,224687.3,0.66,0.072,0.88,473719.3,1523,-211
377.4,870174.6,489230.2,1850.6,351.3,208036.1,460304.1,2000,0.0906,8.221,4.18,1721,28926.14,0.023,224722.2,0.66,0.072,0.88,473069.8,1464,-257
370.3,761885,483269.2,1841.7,344.9,191305.3,455670.8,2000,0.0784,6.983,3.98,1462,27598.41,0.0261,224586,0.68,0.072,0.86,467098.1,1268,-194
369.9,757681.7,482910.4,1841.1,344.7,191436.3,455460.5,2000,0.0785,6.925,3.96,1450,27449.95,0.0262,224532.2,0.67,0.071,0.87,466892.1,1257,-192
361.4,709742.7,474426.8,1821.4,337.1,186163.7,448435.1,2000,0.0751,6.315,3.81,1322,25991.74,0.0272,224425.4,0.68,0.07,0.86,459671.8,1108,-214
361.1,705727.1,474213.4,1821.1,336.9,185881.3,448312.5,2000,0.0754,6.252,3.8,1309,25900.91,0.0274,224384.6,0.67,0.07,0.87,459508.2,1108,-201
361.5,675514,475247.9,1826.3,338.8,214216.6,452759.4,2000,0.0706,5.429,3.15,1136,22488.49,0.0289,224395.9,0.72,0.064,0.86,460784.1,1022,-115
361.2,673469.2,474982.7,1825.7,338.8,216501.4,452776.8,2000,0.0705,5.386,3.11,1127,22205.94,0.0289,224527.7,0.72,0.064,0.86,460729,1005,-123
360.9,672250.8,474698.1,1825,338.7,216113,452513.8,2000,0.0706,5.377,3.11,1126,22184.3,0.029,224642,0.72,0.064,0.86,460657.2,991,-134
359.4,644419,473615.4,1824.3,339.7,251323.8,455205.3,2000,0.067,4.387,2.56,918,18410.05,0.0302,224920.4,0.74,0.055,0.85,460955.3,849,-69
359.4,642512.9,473615.2,1824.5,339.6,250706.3,455210.9,2000,0.0667,4.384,2.56,918,18404.28,0.0303,225145.7,0.75,0.055,0.85,460831.3,852,-65
359.5,674367.3,473159.2,1820.6,339.6,260059.4,454626.9,2000,0.0713,4.651,2.59,974,18532.34,0.0287,225238,0.74,0.055,0.86,460682.9,889,-84
367.6,780241.2,479986.2,1831.6,345.7,271524.3,459155.1,2000,0.0824,5.966,2.87,1249,20831.07,0.0251,225595.5,0.73,0.06,0.87,466467.5,1114,-135
367.6,778529.1,479951.1,1831.6,345.8,272895.4,459261.4,2000,0.0821,5.929,2.85,1241,20689.65,0.0251,226152.9,0.73,0.06,0.87,466580.1,1098,-143
367.7,778819.8,480018.4,1831.7,345.9,271858.5,459241.8,2000,0.0823,5.925,2.86,1240,20776.62,0.0251,226370.2,0.73,0.059,0.87,466640.5,1101,-139
366.7,773474.7,479052.8,1829.5,344.6,253718.4,457123.3,2000,0.0823,6.142,3.05,1286,21929.57,0.0252,226498.7,0.71,0.062,0.87,465707.2,1098,-188
367.7,776783.2,480117.5,1832.2,345.2,255430.6,458154.1,2000,0.0824,6.181,3.04,1294,21963.39,0.0252,226420.9,0.72,0.062,0.87,466305.6,1138,-156
