index, T_sto_HT [K], T_sto_LT [K], glide_cd [K], T_DH+ [K], T_DH- [K], glide_ev [K], W_dot_cp [W], p_ev [Pa], p_cd [Pa], rp_cp [-], Q_dot_cd [W], Q_dot_ev [W], COP [-], COP_tot [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], Nb_exp [-], m_dot_r [kg/s]
1,60.0,46.0,14.0,40.0,26.0,14.0,4995.91144504984,130505.57814057035,383959.8743921979,2.942095501685196,31396.563841992043,26593.30829087275,6.284451633565499,5.506816027279491,0.5362483715756202,0.45452605105600413,2.0,0.16739077916654876
2,60.0,46.0,14.0,45.0,31.0,14.0,4918.584397986796,155749.27112809883,385006.1472888436,2.4719611494822873,36980.340156673505,32262.322402648657,7.518492550785499,6.536074139288606,0.6316183926728229,0.5514322423082088,2.0,0.19876362977121736
3,60.0,46.0,14.0,50.0,36.0,14.0,4863.161328244851,184201.57304889112,384900.4421698764,2.089561103084149,43442.57732098863,38790.553639207246,8.932991194159575,7.701239168002076,0.7419923868952293,0.6629307877675165,2.0,0.2338972560185858
4,60.0,46.0,14.0,55.0,41.0,14.0,4867.277120265719,216526.84512175206,384433.5481299412,1.7754544380572117,50983.25664691874,46341.69486701374,10.474697739038005,8.9614521687998,0.8707860035933616,0.7917851794818567,2.0,0.27360190588328887
5,60.0,46.0,14.0,60.0,46.0,14.0,4979.4610836943575,253063.68161194172,384065.9115481741,1.5176650758488395,59750.12098169323,55013.7173886703,11.999314780739981,10.211323294254536,1.0205226673571668,0.9396256390496794,2.0,0.3182228840425871
6,60.0,46.0,14.0,65.0,51.0,14.0,5256.422201259478,293533.00766960596,382145.198659999,1.301881521583879,69862.89692782334,64867.71742439714,13.290959944405468,11.296736333254044,1.1932472897239086,1.1074404667781281,2.0,0.3674980231481641
7,60.0,46.0,14.0,70.0,56.0,14.0,5826.284503222365,338124.63214591634,379781.05911660887,1.1231984393042262,81491.99965144858,75946.59565397639,13.98695851642286,11.95543481649979,1.3918705349240426,1.2958937492758116,2.0,0.42167499117230633
8,60.0,46.0,14.0,75.0,61.0,14.0,6698.131552593886,392763.4339046011,378135.71404936403,0.9627569203430735,96148.13151523806,89760.23962038569,14.354470460945812,12.384557386817443,1.6421949616704825,1.5306502171688376,2.0,0.4880941577185159
9,60.0,46.0,14.0,80.0,66.0,14.0,7664.001929508415,454377.8696885314,375737.56838887243,0.8269275276246055,113107.5446765536,105778.10499184032,14.758287604425037,12.833692572761828,1.9318590706603338,1.802515761711348,2.0,0.563289278417783
10,65.0,51.0,14.0,40.0,26.0,14.0,5721.832033964563,130843.1302237525,439160.1817418978,3.3563870032068004,31065.846965746186,25548.539621374028,5.429353182921235,4.83636531018214,0.5303651404830295,0.4366691310962835,2.0,0.16734320747984552
11,65.0,51.0,14.0,45.0,31.0,14.0,5626.213985710819,156135.6557835167,440977.2752704403,2.8243214085696016,36429.94533556302,31015.222809441697,6.475037285834844,5.727615742920885,0.6219425820576813,0.5301166371734924,2.0,0.19877889539478016
12,65.0,51.0,14.0,50.0,36.0,14.0,5538.6229333260235,184641.35754370491,441671.41721028025,2.3920503135692983,42636.24929964446,37317.500649506925,7.697987354058922,6.756896346536505,0.7278984015600379,0.6377563035885048,2.0,0.23398418118329933
13,65.0,51.0,14.0,55.0,41.0,14.0,5490.390551088372,217024.76317857613,442200.9504402251,2.0375598800970263,49853.600705211655,44596.779441555445,9.080155635800638,7.90786202786822,0.8511151159264506,0.7619718941177388,2.0,0.27377072549786813
14,65.0,51.0,14.0,60.0,46.0,14.0,5498.249188394614,253624.62680233747,441108.6901374772,1.7392186858938408,58283.04580461377,53034.2377678789,10.600291803367925,9.162906106057985,0.9950250450285881,0.9058164385091796,2.0,0.3185755438422706
15,65.0,51.0,14.0,65.0,51.0,14.0,5628.269616547822,294791.0489349906,439582.98309558607,1.4911680143738897,68079.11509316963,62717.87690532418,12.095922855758092,10.400529180656186,1.1622663782565241,1.0707377665372029,2.0,0.36874929531654205
16,65.0,51.0,14.0,70.0,56.0,14.0,5962.149566014926,340182.8609668906,438086.49902583373,1.2877970917778598,79286.34187243207,73610.91990614934,13.298281264927526,11.423815743329522,1.3535994010375407,1.25603959154984,2.0,0.4239979257255246
17,65.0,51.0,14.0,75.0,61.0,14.0,6613.301457670115,389409.41796489066,435579.5407559066,1.118564473947003,92010.15672647684,85704.163462044,13.912893176790442,12.01497354785282,1.5708240548506585,1.4614833580018414,2.0,0.48388754993972827
18,65.0,51.0,14.0,80.0,66.0,14.0,7593.3485060073,450002.5106913161,432442.180201038,0.9609772610750525,108120.24119631267,100878.68429366311,14.238809282989694,12.4010260160774,1.8458600846894389,1.7190269997184908,2.0,0.5577891416281618
19,70.0,56.0,14.0,40.0,26.0,14.0,6541.5220035066395,131180.68230818724,500232.1455265146,3.81330647717857,30821.273160059172,24495.350701214837,4.711636396474271,4.257450833948997,0.5259102779908713,0.41866829435720837,2.0,0.1672401045848904
20,70.0,56.0,14.0,45.0,31.0,14.0,6429.406698206643,156522.0404391358,502521.26475623494,3.210546344440496,35956.97518115914,29751.97881918928,5.592580601751112,5.022865279610953,0.6135419103237967,0.5085250896886756,2.0,0.1987393824663039
21,70.0,56.0,14.0,50.0,36.0,14.0,6313.7858260065,185081.1420364678,503594.4599287574,2.7209387968306937,41899.00112296974,35820.05004021705,6.636113779847844,5.918860780172178,0.7149320280732537,0.6121648639485169,2.0,0.23401648283186283
22,70.0,56.0,14.0,55.0,41.0,14.0,6224.011429211496,217522.68123504694,504657.20029463666,2.3200210544909696,48853.423647067444,42871.24248953634,7.849186043872121,6.948932069495318,0.8335968951577768,0.7324897055793663,2.0,0.273883061170645
23,70.0,56.0,14.0,60.0,46.0,14.0,6174.037155193315,254185.57199224643,504933.1821591146,1.986474598859281,56905.46542248831,50988.53967221623,9.216897143973625,8.097910426122844,0.9709906850416198,0.870876236834395,2.0,0.3187749263055397
24,70.0,56.0,14.0,65.0,51.0,14.0,6190.693838312214,295420.0695688421,503332.3083837359,1.7037850851444731,66253.22793891524,60342.93357610085,10.702068244579518,9.335519666427546,1.1304936477543157,1.030192045899629,2.0,0.36914465644160127
25,70.0,56.0,14.0,70.0,56.0,14.0,6354.947663080117,340885.15682634217,502434.01922525594,1.4739099346622826,76959.5007014202,70897.04532289444,12.110170654673725,10.51349872496268,1.3131771746655794,1.2097321424999574,2.0,0.4245381179211961
26,70.0,56.0,14.0,75.0,61.0,14.0,6748.344558708325,392278.92174740485,500085.93107396516,1.2748223352056094,89549.26178651204,83115.17134337295,13.269811730486435,11.50976461023026,1.5279990841212687,1.417334173848012,2.0,0.4871828675757143
27,70.0,56.0,14.0,80.0,66.0,14.0,7503.507110079483,447131.1627590749,497931.3224294071,1.1136135521328103,103611.43119373752,96444.21434007547,13.808400481763519,12.038278312886343,1.7679450261238308,1.6434612483109219,2.0,0.5541255776785255
28,75.0,61.0,14.0,40.0,26.0,14.0,7439.6758999420035,131518.2343902446,566194.3922305042,4.305063817618448,30629.77480987357,23422.86121812125,4.117084564142417,3.7656845285846754,0.5223189205247813,0.40033757731299113,2.0,0.16709084372268002
29,75.0,61.0,14.0,45.0,31.0,14.0,7319.261343832151,156908.4250951208,569232.1149124601,3.6277982814968732,35583.40223004519,28500.234593275603,4.8616111050647035,4.423652561824106,0.6067914098867324,0.4871300978254964,2.0,0.1986502209922089
30,75.0,61.0,14.0,50.0,36.0,14.0,7199.346382441641,185520.92653105984,571977.99941939,3.0830915418246883,41289.65012038389,34333.10657994085,5.735194270008246,5.188090183036559,0.7040980749480686,0.5867529915464089,2.0,0.23398597493387582
31,75.0,61.0,14.0,55.0,41.0,14.0,7083.08039432968,218020.5992921747,573966.860757359,2.6326267454579924,47926.89918539603,41097.32307407093,6.76639209456999,6.08064122290004,0.8172807799601126,0.7021808636867406,2.0,0.2739256599857751
32,75.0,61.0,14.0,60.0,46.0,14.0,6980.099931668568,254746.5171822217,574507.2587069549,2.255211435514961,55643.99358424694,48931.34104780597,7.971804720415434,7.111849208335836,0.948877712716416,0.8357396079376954,2.0,0.31890658990744897
33,75.0,61.0,14.0,65.0,51.0,14.0,6918.076454518328,296049.0902006383,573452.3370980207,1.937017731449135,64586.37218074225,57957.63853267302,9.335885864424013,8.26614154895222,1.1013689916904847,0.9894695977978286,2.0,0.36939439205851776
34,75.0,61.0,14.0,70.0,56.0,14.0,6963.37294185313,341587.4526858708,573120.2214841123,1.677814032622453,74814.8810445068,68151.79992415298,10.744057753223922,9.451541637737636,1.2757922037925038,1.1628894062084463,2.0,0.4249793794760592
35,75.0,61.0,14.0,75.0,61.0,14.0,7155.394813091047,393059.84301876323,570817.5748749685,1.452240886504704,86814.66265411484,79978.4077796599,12.132756461639875,10.622988992627578,1.4804203153528666,1.363844033332453,2.0,0.48778777494329645
36,75.0,61.0,14.0,80.0,66.0,14.0,7623.372968094092,450220.1872995451,568862.1480063458,1.2635198599565787,100682.01137614412,93400.04838175816,13.207016342703678,11.556638237412239,1.716895400788238,1.591587024230661,2.0,0.5576802553752457
37,80.0,66.0,14.0,40.0,26.0,14.0,8409.372817161942,131855.78647312903,636682.2401823822,4.828625707011592,30539.198406014733,22377.33640409077,3.6315667137137737,3.3558108275466565,0.520404354768106,0.38246773352355035,2.0,0.1668992496977266
38,80.0,66.0,14.0,45.0,31.0,14.0,8305.881656945596,157294.80975011538,642056.1086920357,4.081864555556733,35289.08098900642,27232.633701598203,4.248685744215578,3.9096793772733096,0.6013449069058209,0.465464081556557,2.0,0.19850455913438234
39,80.0,66.0,14.0,50.0,36.0,14.0,8188.542177316426,185960.71102517995,646582.2704777746,3.476983212815444,40747.85849630222,32815.39822959378,4.976204263706466,4.556947234840984,0.6943654095640514,0.5608153469936904,2.0,0.23389650837449283
40,80.0,66.0,14.0,55.0,41.0,14.0,8051.224630451995,218518.5173490526,649307.6271444886,2.9714078011398506,47128.86830477743,39338.39693094154,5.853627301183823,5.329583914664104,0.8031012463073786,0.6721281939272589,2.0,0.27390811013695493
41,80.0,66.0,14.0,60.0,46.0,14.0,7909.4154716131,255307.46237266035,650289.6065171269,2.5470842116159127,54493.04035160252,46862.59109372683,6.889641914396594,6.231649404778275,0.9285906960132538,0.8004056841473367,2.0,0.3189721280063747
42,80.0,66.0,14.0,65.0,51.0,14.0,7802.249651571467,296678.11083351145,650929.912107039,2.194061133388857,63089.86917599503,55573.43378174894,8.086112594883192,7.262530680436618,1.0750852797259918,0.9487657634855557,2.0,0.36954420436602203
43,80.0,66.0,14.0,70.0,56.0,14.0,7741.520033981935,342289.74854555744,649506.4836104537,1.8975341399218297,72851.23756788252,65416.31024541743,9.41045650571167,8.391704376413017,1.2414242435749416,1.1162131339495425,2.0,0.4252856252946952
44,80.0,66.0,14.0,75.0,61.0,14.0,7797.66128502869,393840.7642905739,648088.303325978,1.6455592261846756,84285.88673674391,76813.55625785822,10.809123871354947,9.577999781468371,1.436276811203206,1.3098749186148417,2.0,0.4882845939924758
45,80.0,66.0,14.0,80.0,66.0,14.0,8042.851750362825,451085.23604307306,646532.186464314,1.433281639043886,97477.00711934065,89779.13899389356,12.119707057256564,10.694678829168039,1.6610605923656367,1.52988478212812,2.0,0.5583538048411986
46,85.0,71.0,14.0,40.0,26.0,14.0,9490.532195238688,132193.3385565952,714667.1401332776,5.406226576442134,30525.699292755413,21299.266073066858,3.216437041125036,2.999048424826074,0.5197550866276653,0.36404163004814644,2.0,0.1666396079933743
47,85.0,71.0,14.0,45.0,31.0,14.0,9400.858799048918,157681.1944059326,721958.2973668759,4.578594803818362,35076.13060999512,25939.64297406418,3.731162371414807,3.4671237976069182,0.597234386964168,0.4433640985711637,2.0,0.1982947970460316
48,85.0,71.0,14.0,50.0,36.0,14.0,9277.071281536597,186400.49551945916,727309.0846380284,3.9018623990841346,40304.289583353544,31296.646802471467,4.344505756204321,4.020418314476607,0.6862532229960756,0.5348598762528037,2.0,0.23375040122041243
49,85.0,71.0,14.0,55.0,41.0,14.0,9122.648480800848,219016.4354054997,730628.4984238693,3.335952834184071,46384.50364992832,37540.91465414912,5.084543567314607,4.681911909173749,0.7897798337570396,0.6414167615718014,2.0,0.27383325632011185
50,85.0,71.0,14.0,60.0,46.0,14.0,8956.189892261495,255868.4075619353,732460.6038144376,2.8626457279105035,53438.12746886712,44775.91574054455,5.966613940939304,5.462547983119097,0.9098805011943808,0.7647655973600566,2.0,0.3189736687911333
51,85.0,71.0,14.0,65.0,51.0,14.0,8809.920635427447,297307.13146589894,734042.0110513757,2.468968730861305,61636.6942679255,53130.24360837788,6.996282579444028,6.364732500724675,1.0494758878880641,0.9070549129507077,2.0,0.3696306838968632
