index, T_sto_HT [K], T_sto_LT [K], glide [K], W_dot_exp [W], p_ev [Pa], p_cd [Pa], rp_exp [-], Q_dot_cd [W], Q_dot_ev [W], eta_ORC [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], T_tap [K], Nb_exp [-], m_dot_r [kg/s]
1,45.0,319.15,1.0,178.95276763106585,187529.36132167102,59732.775490154585,3.139471752029678,8745.048102933686,9199.312368279727,0.019452841741532258,2.0904141948593216,2.2008916955536955,20.0,1.0,0.04256272054066743
2,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
4,45.0,321.15,3.0,-130.623691588031,235430.0537838828,114273.78388091332,2.060228039960841,11450.34105594516,11482.443107768175,-0.011375949383076902,0.9124993501978395,0.9157455616322686,20.0,1.0,0.05294151220985538
5,45.0,321.15,3.0,665.47576260494,217063.1718063683,62450.8882885542,3.4757419430677814,20210.831995418615,21422.179689041415,0.031064801633858306,1.6106394536782536,1.7084574934629557,20.0,2.0,0.09794565635308917
6,45.0,321.15,3.0,-402.6176083609354,235696.3884075325,114744.19330475524,2.054102971307087,34401.2916084743,34594.63393068794,-0.011638152008418407,2.741504037768421,2.758984493194509,20.0,3.0,0.15899718656376394
7,45.0,323.15,5.0,-184.5437437659184,227799.18835031267,114825.73252646673,1.9838688013403802,11104.859617758455,11087.096625868548,-0.0166449116475939,0.5310524995381262,0.5305496416178613,20.0,1.0,0.05129195719506883
8,45.0,323.15,5.0,-395.00859335024643,227761.36219448826,115965.85001410496,1.9640382247600099,22227.90175232293,22217.42087215683,-0.017779228094169857,1.0629745166865687,1.0631678499034083,20.0,2.0,0.10256755331951888
9,45.0,323.15,5.0,-561.8030137378785,227348.2960875124,114817.05503542836,1.9800916860074576,33252.22071547467,33297.42682302282,-0.016872265136999458,1.5901754307553086,1.5933781822134876,20.0,3.0,0.1535833414611384
10,45.0,325.15,7.0,-288.26158030610657,211570.55558792184,115030.47320822404,1.8392565872953024,10363.136511619185,10255.072239323483,-0.028109171108591128,0.3540304882107626,0.3505364478139595,20.0,1.0,0.04777920535711433
11,45.0,325.15,7.0,-600.9151231725963,211306.33170037172,115975.45322477134,1.82199185969845,20719.789321447377,20520.996616675176,-0.02928294051197777,0.7078394770609885,0.7014438408369648,20.0,2.0,0.0954439119260013
12,45.0,325.15,7.0,-985.7568117893975,206093.01736083344,115579.97221600925,1.7831204957867868,30353.847710906783,30071.78650766898,-0.03278012137848901,1.0369628453816857,1.0279066764051812,20.0,3.0,0.1397760000815455
13,45.0,327.15,9.0,-320.7984416144898,197953.21021226223,110333.2935091644,1.7941385044924814,9698.010133239924,9591.903343691736,-0.033444711661473094,0.2577123004450311,0.25501567521653973,20.0,1.0,0.044826159440616485
14,45.0,327.15,9.0,-686.3033957260404,203045.58548333886,115181.56023207116,1.7628306568710885,19950.261216831073,19674.78899747039,-0.03488237641655416,0.530152850124025,0.523084879106149,20.0,2.0,0.09186225071807609
15,45.0,327.15,9.0,-1031.87123589632,202919.92885533106,115183.49437067682,1.7617101301190425,29908.244549630217,29510.63716108948,-0.034966077833685966,0.7947736081177675,0.7845862069340929,20.0,3.0,0.1377116076168994
16,45.0,329.15,11.0,-429.78982800042354,187065.97947390785,115333.2119879134,1.6219610661108774,9357.913149740749,9126.901375940633,-0.04709044288934575,0.20348089858682444,0.19853864925196774,20.0,1.0,0.04302168189487601
17,45.0,329.15,11.0,-859.9892186044366,186771.71515416633,115512.3029077926,1.6168988969361677,18746.461516936473,18308.745512850135,-0.04697149883922121,0.40762793731369856,0.39827247538813937,20.0,2.0,0.08619357975473203
18,45.0,329.15,11.0,-1289.4011226986506,186521.3580362818,115343.08062378305,1.6171005406441539,28077.85338147742,27436.766310750383,-0.046995375041461514,0.610532150173932,0.5968354755687136,20.0,3.0,0.12911153365924902
19,45.0,331.15,13.0,-429.2790135570359,178655.82794385622,114897.88749163308,1.5549095970704077,9329.934596970466,9097.758007023276,-0.04718514311170308,0.17167613333192328,0.1674606692199852,20.0,1.0,0.043038644019880085
20,45.0,331.15,13.0,-646.7568610180094,174779.1880741767,97640.43204954205,1.7900288272536011,17060.39965114413,16860.707855228648,-0.03835882019730534,0.3139211121755078,0.31035178323929524,20.0,2.0,0.07957361039728228
21,45.0,331.15,13.0,-1077.5728024831592,173852.31103828957,100333.34137387664,1.7327471472364893,25539.205167351218,25162.320866555896,-0.042824857380918235,0.46993598357326305,0.4631579657525032,20.0,3.0,0.11875450409751745
22,45.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,45.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
24,45.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
25,45.0,335.15,17.0,-427.8617701326965,152862.87602413935,113697.1625864339,1.344473974079443,9257.71045775203,9019.137252230625,-0.04743932353694664,0.13028376912310394,0.1269536097006082,20.0,1.0,0.0431958084125288
26,45.0,335.15,17.0,-855.6734381036724,152625.8021477856,113675.65384207947,1.3426428350244326,18512.367420473896,18045.59467878877,-0.04741730341031386,0.2605245664073991,0.25401025836475877,20.0,2.0,0.08638716618489249
